pid,housing,log_consumption,log_liq_wealth,log_housing_wealth,log_income,age,age_sq,cons
5990031,0,9.3663626,1.9748821,0,9.7542601,22,484,1
5990032,0,9.1665592,9.1527119,0,10.690344,25,625,1
5990033,0,8.9672213,2.1050286,0,9.7827253,22,484,1
5990034,0,9.980073,.24448104,0,9.8433876,29,841,1
5990036,1,10.820131,8.6434374,12.96391,10.912446,23,529,1
5990037,0,9.1688643,1.7630692,0,10.214476,23,529,1
5990173,1,10.84447,13.492422,3.0633657,12.076205,30,900,1
5990178,0,9.922348,2.9163423,0,10.57468,24,576,1
5990182,0,10.169102,7.8473439,0,11.346482,30,900,1
5991032,0,9.534379,5.0176549,0,9.1741495,22,484,1
5994030,0,9.8770065,6.9860125,0,10.971992,23,529,1
5994031,0,9.6748867,10.751014,0,10.719609,22,484,1
5995030,0,10.353559,8.5435848,0,11.572459,25,625,1
5995031,0,8.69981,2.1050286,0,10.583546,23,529,1
5995034,0,9.8866882,1.7630692,0,10.165685,26,676,1
5995035,0,9.051259,4.93643,0,9.9728336,23,529,1
5995171,0,9.7361431,1.2340078,0,9.3266029,25,625,1
5995172,0,10.496191,2.9975672,0,11.16774,22,484,1
5998189,0,11.363004,1.4386516,0,9.368762,23,529,1
6009030,1,9.9262438,9.4825544,9.1226854,10.987106,28,784,1
6009031,0,9.3178215,8.9060793,0,10.498453,26,676,1
6009032,0,9.5300322,6.8626051,0,10.534531,24,576,1
6009033,0,9.65522,6.4762654,0,10.057379,23,529,1
6024032,0,9.4760542,2.2301965,0,10.994292,22,484,1
6024034,0,9.4716511,14.841761,0,10.387353,22,484,1
6026032,0,8.3643217,2.1050286,0,9.8024664,22,484,1
6028032,0,10.66243,3.9949696,0,11.324086,30,900,1
6028043,0,9.434041,4.4885936,0,10.491714,24,576,1
6028180,0,9.4635754,4.4885936,0,11.428206,23,529,1
6028181,0,8.1043959,2.9163423,0,7.6742587,23,529,1
6028188,0,10.072256,2.0682735,0,10.898179,29,841,1
6028193,0,7.1511579,4.93643,0,10.40721,22,484,1
6030030,0,10.319302,.72089714,0,11.218453,28,784,1
6030031,0,10.025249,9.6841393,0,11.264321,30,900,1
6030196,0,10.643936,7.377027,0,11.344543,23,529,1
6030206,0,9.4454975,12.650309,0,11.384465,25,625,1
6040035,0,9.8291502,9.0782499,0,11.262735,24,576,1
6041031,0,9.1676493,6.1417742,0,9.5037203,24,576,1
6041174,0,9.3792849,11.853192,0,11.162467,23,529,1
6051035,0,8.8111391,5.2259564,0,10.211544,26,676,1
6051036,0,9.7236156,2.4685061,0,10.860214,23,529,1
6051175,0,7.9741387,2.0682735,0,10.302158,28,784,1
6053033,0,.36671752,2.2897747,0,10.993737,26,676,1
6054031,0,9.2625637,8.7155142,0,11.087158,28,784,1
6054186,0,9.7915039,5.9929533,0,11.034437,25,625,1
6064034,0,9.9957733,2.0682735,0,10.281993,28,784,1
6064037,0,9.8538713,11.275474,0,10.959923,23,529,1
6064172,1,10.31276,9.6318054,12.520186,11.527925,29,841,1
6064187,0,10.614855,8.6769314,0,10.594781,24,576,1
6064192,0,10.036224,9.6242676,0,10.49886,26,676,1
6064196,0,10.360053,2.9163423,0,10.278563,24,576,1
6069170,0,9.6564445,10.917838,0,10.493689,23,529,1
6069171,0,9.9733229,10.635868,0,11.474116,24,576,1
6073033,0,8.8922176,8.447505,0,10.561324,23,529,1
6073035,0,8.3575296,1.996737,0,8.4478664,24,576,1
6073176,0,10.312033,12.972956,0,11.277203,27,729,1
6073178,0,10.444899,10.596077,0,11.16985,30,900,1
6088176,1,9.9686956,10.355478,1.8932914,11.154943,29,841,1
6093031,0,8.6440477,4.1251159,0,9.2150002,24,576,1
6093032,0,8.5640669,2.9163423,0,10.654415,29,841,1
6093033,0,8.4049015,.16325612,0,10.09599,28,784,1
6093035,0,10.047096,5.0176549,0,11.943666,28,784,1
6093036,0,10.426648,14.153799,0,11.146095,22,484,1
6103032,0,8.9743652,6.5672145,0,10.432255,27,729,1
6103033,0,8.7948265,2.2301965,0,10.931621,23,529,1
6103038,0,9.159462,6.9817491,0,10.238953,24,576,1
6103040,1,10.377227,13.342711,13.393646,10.928468,22,484,1
6103041,0,10.133384,9.8655005,0,10.885946,24,576,1
6107030,0,10.21046,7.9785991,0,11.159488,27,729,1
6107033,0,10.147017,3.9754832,0,11.630276,24,576,1
6107040,0,7.9769034,4.93643,0,9.3034029,27,729,1
6107043,0,8.9900675,2.4685061,0,7.4657059,22,484,1
6107192,0,9.0659914,.99569839,0,10.279028,27,729,1
6108173,0,9.5609283,6.0282183,0,10.216546,25,625,1
6110030,0,10.013301,11.682418,0,10.966025,25,625,1
6110032,0,6.8901615,3.9754832,0,9.7488708,24,576,1
6111031,0,8.7744207,6.6472573,0,10.622011,25,625,1
6111033,0,10.673579,-.28458026,0,10.024928,24,576,1
6112032,0,9.3848162,6.8211656,0,10.120245,30,900,1
6112191,0,9.3575907,6.2935286,0,10.227683,27,729,1
6114048,0,9.0053062,3.3124599,0,10.575439,24,576,1
6114049,0,9.8402948,10.853364,0,10.248103,23,529,1
6114182,0,9.8445396,2.2897747,0,10.280869,30,900,1
6114183,0,10.072618,9.9772234,0,10.810516,28,784,1
6114186,1,11.061357,11.459788,8.2128372,11.743128,23,529,1
6114188,1,10.486732,10.369163,11.26833,11.872035,23,529,1
6114190,1,10.13668,7.3815541,12.047498,11.203289,22,484,1
6114207,1,10.1066,13.515512,1.0292684,11.13908,26,676,1
6114214,0,9.739665,10.915322,0,11.741827,29,841,1
6115037,1,10.467124,9.5880375,12.408032,11.773899,22,484,1
6115044,0,9.4515381,5.0176549,0,10.288286,28,784,1
6115183,0,8.9835548,4.0883608,0,7.1419945,23,529,1
6115184,0,9.1496258,2.0682735,0,10.061931,25,625,1
6115186,0,10.029454,8.4894247,0,11.866057,22,484,1
6115189,1,10.720798,9.9500122,12.353329,11.290556,28,784,1
6115197,0,10.011937,4.2502842,0,11.95794,28,784,1
6115198,0,8.2848558,5.0176549,0,10.275981,23,529,1
6115199,0,8.8887739,1.6818442,0,10.484619,28,784,1
6120198,0,8.1078196,1.9748821,0,9.3660374,26,676,1
6120201,0,9.2063284,9.8506289,0,10.625216,30,900,1
6121030,0,10.225527,1.9748821,0,11.007713,25,625,1
6121033,0,.58346862,3.9949696,0,10.86895,24,576,1
6121034,1,10.044209,1.9748821,12.332275,11.351254,25,625,1
6121047,0,9.9271498,.24448104,0,9.3127594,28,784,1
6121048,0,9.714097,4.93643,0,11.747597,24,576,1
6121050,0,9.103097,5.0176549,0,11.471705,24,576,1
6121177,0,8.4535303,2.4685061,0,11.108541,29,841,1
6121196,0,9.7123318,3.9949696,0,10.504307,26,676,1
6121211,0,10.097267,2.4685061,0,11.19123,24,576,1
6121226,0,8.4459581,4.4885936,0,9.8398781,26,676,1
6125037,0,9.5833349,6.7759423,0,10.448861,24,576,1
6127032,1,10.532009,11.576905,12.502453,11.315033,22,484,1
6127035,1,10.028999,2.7833989,2.0721927,11.828448,25,625,1
6127036,0,9.6197739,2.7833989,0,10.393841,24,576,1
6127037,0,9.0927782,2.9975672,0,11.641704,27,729,1
6127195,0,9.5355625,-1.0681896,0,9.3950367,29,841,1
6129032,0,9.4996815,5.8106318,0,9.8114157,22,484,1
6129175,1,10.121029,10.906759,8.5678949,11.849485,27,729,1
6129179,0,10.296351,2.4199212,0,11.155341,22,484,1
