d_c,lag_log_a,_Iage_group_1,_Iage_group_2,_Iage_group_3
-.049548149,11.115395,0,1,0
-.0035619736,11.026343,0,1,0
.26471519,10.98173,0,1,0
-.042825699,10.683181,0,1,0
-.20177174,9.3066177,0,1,0
.18343639,9.8226261,0,1,0
.26548576,10.312576,0,1,0
-.036496162,9.7087631,0,1,0
.17884731,10.717537,0,1,0
.15837669,9.0737429,1,0,0
.220788,9.5297623,0,1,0
.47434139,9.6684761,0,1,0
-.042430878,9.0804329,0,1,0
-.61061668,9.8422947,0,1,0
.016792297,9.9996967,0,1,0
.93078041,10.277716,1,0,0
.0073280334,12.088843,1,0,0
.32107735,12.507785,0,1,0
.050581932,12.673846,0,1,0
.0035867691,8.0381193,1,0,0
.21884251,8.8914213,0,0,1
-.5904026,7.6326418,0,0,1
-.37162113,9.4244013,0,1,0
.053312302,7.8767161,0,1,0
.2691021,9.2139645,0,1,0
.12945271,10.014145,0,0,1
.272645,9.7120152,0,0,1
.21690178,7.9203238,0,1,0
.47328377,9.8916187,0,1,0
.27270317,13.154101,0,0,1
.4557848,12.879666,0,0,1
.080566406,12.967394,0,0,1
-.38310337,10.74772,1,0,0
.46825409,10.916057,1,0,0
.76234341,10.990232,1,0,0
-.61727238,11.383018,0,1,0
.069032669,9.2420921,0,0,0
.4189043,9.7243309,1,0,0
-.32053375,9.3317471,0,1,0
.71308517,8.8614655,0,1,0
-.47982216,9.30655,0,1,0
-.030954361,10.546288,0,0,1
-.3130312,7.3449717,0,0,1
.20833206,15.576034,0,1,0
-.58289242,13.349682,0,0,1
-.70989227,12.069475,0,0,1
-.18874359,12.19699,0,0,1
.37298107,12.393055,0,0,1
.18368244,11.935944,0,1,0
.061808586,11.980767,0,1,0
.76814747,9.8425732,0,0,1
-.4161253,13.977462,0,0,0
-.010746002,11.726998,1,0,0
.36376572,12.257627,1,0,0
.4347496,8.3805962,0,0,1
-.25662518,7.9203238,0,0,1
-.11481571,8.8914213,1,0,0
-.18087006,10.222909,1,0,0
.62559414,9.4861536,1,0,0
-.35384083,9.8017511,1,0,0
-.078658104,9.7777567,0,1,0
.49573898,10.405162,0,1,0
.05900383,11.085285,0,1,0
-.041918755,10.85153,0,1,0
-.26194191,10.304455,1,0,0
.28792381,10.705267,1,0,0
.74336815,9.7635288,0,1,0
-1.0462542,10.494855,0,1,0
-1.1441364,8.1982746,0,1,0
-.026119232,7.8767161,0,0,1
.12264252,14.111777,0,0,1
.3492136,14.096312,0,0,1
-.15383339,14.052229,0,0,1
.062228203,10.500859,0,1,0
.52945423,11.277221,0,0,1
-.42013168,10.179301,0,0,1
-.33846474,9.437108,0,0,1
.50500584,10.470903,0,0,1
-.29971695,11.208657,0,0,1
.35659409,7.9203238,1,0,0
-.37290096,9.8916187,1,0,0
.2234726,10.130255,1,0,0
.46078491,10.065438,1,0,0
.39845753,9.30655,1,0,0
-1.0651445,9.6989908,0,1,0
-.037529945,10.94684,0,1,0
.44071007,11.544663,0,0,1
-.76564407,12.270602,0,0,1
.39297295,11.971061,0,0,1
-.035716057,11.97498,0,0,1
.43355274,10.497755,0,0,0
.32040691,10.625054,1,0,0
-.48962116,8.6134024,1,0,0
.37729359,8.7826996,1,0,0
.35781002,10.357233,1,0,0
.31859493,9.2968864,0,0,0
.13348961,6.9113793,1,0,0
-.068644524,7.9720263,1,0,0
-.34790611,7.5397096,0,0,0
.045545578,7.3964057,1,0,0
-.012313843,8.0381193,0,0,0
-.021126747,9.7668905,0,1,0
.24834824,9.1730871,0,0,1
.033781052,7.8767161,0,0,1
-.097180367,8.2331352,0,0,1
.35606194,8.1683187,0,0,1
.06114006,7.6971121,0,0,1
-.2624588,7.6840878,0,0,1
.13500595,9.584569,0,1,0
.22017288,11.321522,0,1,0
.47372913,9.4861536,0,1,0
-.36415768,11.046546,0,0,1
-.34782887,11.164051,0,0,1
-.15244102,10.915988,0,0,1
.50909996,10.392138,0,0,1
-.45959187,11.256995,0,0,1
-.21604538,8.8914213,1,0,0
.46704674,8.4799395,0,1,0
.31139851,8.692668,0,1,0
.26757717,9.8730659,0,1,0
-.068088531,8.0895529,0,0,1
.29140282,7.4739685,0,1,0
.28985405,10.306803,0,1,0
.49142456,9.9029198,0,0,0
.32277489,8.7826996,1,0,0
.21426868,9.2420921,1,0,0
.32175732,9.2097721,1,0,0
-.34910583,8.5080423,1,0,0
.3835144,8.7826996,1,0,0
.045633316,8.1632824,1,0,0
.092528343,9.6475573,1,0,0
.14970875,9.584569,0,1,0
.23985767,7.3224869,0,1,0
.1673727,8.0998592,0,0,1
-.28507233,9.051446,0,0,1
-.0041217804,9.7777567,0,0,1
.85598278,9.30655,0,0,1
-.90108585,10.249037,0,0,1
.33196545,10.500859,0,1,0
-.089947701,11.401564,0,1,0
-.19068432,8.2821817,0,1,0
.70542145,7.2520275,1,0,0
-.63037491,8.3902597,1,0,0
-.0050859451,7.9072313,1,0,0
.38277626,8.885417,1,0,0
.40816498,8.0381193,0,0,0
-.055041313,10.890738,0,0,1
-.17299366,10.179301,0,0,1
.016005516,8.7860613,0,0,1
-.038178444,9.0189362,0,0,1
-.021176338,11.66401,0,0,1
-.42288113,11.781054,0,0,1
.36923122,12.002057,0,0,1
.41912365,7.183569,0,1,0
.097251892,8.4560003,0,0,1
.019978523,8.0381193,0,0,0
.13574123,8.3805962,0,1,0
.4842062,10.222909,0,1,0
-.092131615,9.2877035,0,1,0
-.32314491,9.7735806,0,1,0
-.11653328,9.8233671,0,0,1
.79786587,9.35534,0,0,1
-.77470684,8.600378,0,0,1
-.041614532,9.0189486,0,0,1
-.17635632,10.577821,0,0,1
-.01759243,9.9997654,0,0,1
.14326954,10.340704,0,0,0
.13132,8.9262819,1,0,0
-.10455799,9.3722916,1,0,0
.53325176,8.8445148,1,0,0
-.018385887,7.6840878,0,0,0
.057612419,8.0381193,0,0,0
-.51248455,10.222909,0,0,1
.14750767,9.9561577,0,0,1
-.34228611,7.539988,0,0,1
.38614845,8.8914213,1,0,0
-.32718086,9.0189362,0,1,0
-.033444405,11.252275,0,0,1
.024915695,10.628374,0,0,1
.39075279,7.0039649,0,0,1
-.59317589,8.9753284,0,0,0
.13286018,7.0039649,0,0,0
.039402962,13.645873,0,1,0
-.83978558,8.7930069,0,1,0
.18700123,11.383018,0,0,1
.097345352,13.271166,0,0,1
.42790318,13.539377,0,0,1
-.069870949,10.130255,0,0,0
-.14763165,10.327803,0,0,0
.07213974,7.9202557,1,0,0
.60904789,9.0703821,0,0,0
-.49286747,7.3449717,0,0,0
.15166473,9.8077126,0,0,1
-.53576088,11.609203,0,0,1
.56377792,11.095592,0,0,1
-.35486031,9.7735806,0,0,1
.36223602,7.2819834,1,0,0
-.010493279,8.613471,1,0,0
.19736576,7.8767161,1,0,0
.57039261,7.1345229,0,1,0
-.2847662,6.9909406,1,0,0
.4655304,9.4861536,0,0,1
.15541077,10.56851,0,0,1
-.13366795,11.599472,0,1,0
-.47828102,11.609203,0,1,0
.17246723,12.088843,0,1,0
-.201828,12.655984,0,1,0
